"section","table_name","column_name","ordinal_position","data_type","character_maximum_length","is_nullable","column_default"
"COLUMNS","achats_boeuf","id",1,"integer",NULL,"NO","nextval('achats_boeuf_id_seq'::regclass)"
"COLUMNS","achats_boeuf","mois",2,"character varying",255,"YES",NULL
"COLUMNS","achats_boeuf","date",3,"date",NULL,"NO",NULL
"COLUMNS","achats_boeuf","bete",4,"character varying",255,"YES",NULL
"COLUMNS","achats_boeuf","prix",5,"double precision",NULL,"YES",NULL
"COLUMNS","achats_boeuf","abats",6,"double precision",NULL,"YES","0"
"COLUMNS","achats_boeuf","frais_abattage",7,"double precision",NULL,"YES","0"
"COLUMNS","achats_boeuf","nbr_kg",8,"double precision",NULL,"YES",NULL
"COLUMNS","achats_boeuf","prix_achat_kg",9,"double precision",NULL,"YES",NULL
"COLUMNS","achats_boeuf","commentaire",10,"text",NULL,"YES",NULL
"COLUMNS","achats_boeuf","annee",11,"integer",NULL,"YES",NULL
"COLUMNS","achats_boeuf","createdAt",12,"timestamp with time zone",NULL,"YES",NULL
"COLUMNS","achats_boeuf","updatedAt",13,"timestamp with time zone",NULL,"YES",NULL
"COLUMNS","cash_payments","id",1,"integer",NULL,"NO","nextval('cash_payments_id_seq'::regclass)"
"COLUMNS","cash_payments","name",2,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","created_at",3,"timestamp with time zone",NULL,"NO",NULL
"COLUMNS","cash_payments","amount",4,"double precision",NULL,"NO",NULL
"COLUMNS","cash_payments","merchant_fee",5,"double precision",NULL,"YES",NULL
"COLUMNS","cash_payments","customer_fee",6,"double precision",NULL,"YES",NULL
"COLUMNS","cash_payments","customer_name",7,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","customer_phone",8,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","entete_trans_type",9,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","psp_name",10,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","payment_category",11,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","payment_means",12,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","payment_reference",13,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","merchant_reference",14,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","trn_status",15,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","tr_id",16,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","cust_country",17,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","aggregation_mt",18,"character varying",255,"YES",NULL
"COLUMNS","cash_payments","total_nom_marchand",19,"character varying",255,"YES",NULL
